Date,PETR4.SA,BBDC4.SA,SPY,TLT
2025-01-02,33.01750946044922,10.394646644592285,576.2803955078125,83.24244689941406
2025-01-03,32.66731262207031,10.2293119430542,583.48583984375,82.9762954711914
2025-01-06,32.5146598815918,10.430244445800781,586.8469848632812,82.60557556152344
2025-01-07,33.20608139038086,10.576380729675293,580.2132568359375,81.67398834228516
2025-01-08,32.93669509887695,10.411978721618652,581.0609741210938,81.77855682373047
2025-01-10,33.170162200927734,10.211047172546387,572.1896362304688,81.23672485351562
2025-01-13,33.286895751953125,10.247577667236328,573.0767822265625,81.20819854736328
2025-01-14,33.062408447265625,10.439376831054688,573.8653564453125,81.07512664794922
2025-01-15,33.48444366455078,10.804713249206543,584.303955078125,82.47248840332031
2025-01-16,33.26893615722656,10.713376998901367,583.1802368164062,82.7386474609375
2025-01-17,33.403629302978516,10.585511207580566,589.0353393554688,82.88124084472656
2025-01-21,33.4934196472168,10.63117790222168,594.4270629882812,83.6226806640625
2025-01-22,33.30485534667969,10.4850435256958,597.7686767578125,83.1854248046875
2025-01-23,33.071388244628906,10.40284538269043,601.0313110351562,82.53901672363281
2025-01-24,32.90077590942383,10.320646286010742,599.2767333984375,82.90975189208984
2025-01-27,33.38566970825195,10.576380729675293,590.7996826171875,83.88885498046875
2025-01-28,33.34077453613281,10.62204647064209,595.8760986328125,83.8318099975586
2025-01-29,33.13424301147461,10.512444496154785,593.204833984375,83.66072082519531
2025-01-30,33.57423782348633,11.087844848632812,596.3886108398438,83.97439575195312
2025-01-31,33.843624114990234,11.04217529296875,593.2147216796875,83.42306518554688
2025-02-03,33.67301559448242,11.023910522460938,589.2225341796875,84.10231018066406
2025-02-04,33.34077453613281,11.004676818847656,593.17529296875,84.35987091064453
2025-02-05,33.098323822021484,11.260814666748047,595.5802612304688,85.75267028808594
2025-02-06,33.03546905517578,11.416325569152832,597.6503295898438,85.71450805664062
2025-02-07,32.846900939941406,10.968085289001465,592.1796875,85.16120147705078
2025-02-10,33.071388244628906,10.977232933044434,596.2012939453125,84.90364837646484
2025-02-11,33.071388244628906,11.233368873596191,596.65478515625,84.35987091064453
2025-02-12,32.577518463134766,10.721101760864258,594.7327270507812,83.21510314941406
2025-02-13,32.613433837890625,10.867462158203125,601.0115966796875,84.59835815429688
2025-02-14,33.619136810302734,11.151040077209473,600.9820556640625,85.04673767089844
2025-02-18,34.445247650146484,11.160189628601074,602.7463989257812,84.0450668334961
2025-02-19,34.51708221435547,10.958937644958496,604.1658325195312,84.14998626708984
2025-02-20,34.57095718383789,10.93149471282959,601.6522827148438,84.46480560302734
2025-02-21,34.47218704223633,10.83087158203125,591.361572265625,85.48554992675781
2025-02-24,34.229740142822266,10.638772010803223,588.6705932617188,85.73358917236328
2025-02-25,34.077091217041016,10.766838073730469,585.7431030273438,87.21224212646484
2025-02-26,34.077091217041016,10.556440353393555,586.0387573242188,87.7273941040039
2025-02-27,32.87384033203125,10.49240779876709,576.6843872070312,87.10729217529297
2025-02-28,32.26323699951172,10.282010078430176,585.6839599609375,88.17576599121094
2025-03-05,31.086923599243164,10.49240779876709,574.7229614257812,86.79771423339844
2025-03-06,30.763662338256836,10.583454132080078,564.52099609375,86.51062774658203
2025-03-07,31.095903396606445,10.711740493774414,567.68505859375,86.23310089111328
2025-03-10,31.086923599243164,10.5559663772583,552.5643310546875,87.13265991210938
2025-03-11,30.6199893951416,10.491822242736816,547.970947265625,86.51062774658203
2025-03-12,30.6199893951416,10.491822242736816,550.8787231445312,85.99384307861328
2025-03-13,30.92529296875,10.67508602142334,543.5353393554688,86.7498779296875
2025-03-14,31.877117156982422,11.114917755126953,554.762451171875,86.29052734375
2025-03-17,32.469764709472656,11.27985668182373,559.0404663085938,86.72116088867188
2025-03-18,32.496700286865234,11.270691871643066,552.9981079101562,86.80730438232422
2025-03-19,32.469764709472656,11.371485710144043,559.020751953125,87.25706481933594
2025-03-20,32.54159927368164,11.316508293151855,557.4041748046875,87.3144760131836
2025-03-21,33.04444885253906,11.472280502319336,557.5880126953125,86.79771423339844
2025-03-24,32.99955368041992,11.59140396118164,567.5736083984375,85.9077377319336
2025-03-25,33.25995635986328,11.783829689025879,568.93798828125,85.89816284179688
