Date,PETR4.SA,BBDC4.SA,SPY,TLT
2025-01-03,-0.010663046512147896,-0.016033608949907803,0.01242584380726078,-0.003202426536108137
2025-01-06,-0.004683903039495891,0.019452386577733124,0.005743928888736339,-0.004477791279755398
2025-01-07,0.02104197264465114,0.013913576327525627,-0.011368392539831382,-0.011341607964844796
2025-01-08,-0.008145644779881184,-0.01566633837327247,0.0014599780364298663,0.0012794966955694304
2025-01-10,0.007063354158542052,-0.019486753150003894,-0.015385229890816907,-0.0066476462818573214
2025-01-13,0.003513055638554179,0.0035711621674871102,0.0015492398261862396,-0.0003512120397283509
2025-01-14,-0.006766858040464895,0.01854353765338617,0.0013750900179164917,-0.0016399951021410094
2025-01-15,0.012684022222471567,0.03439756073279844,0.018026520303546564,0.017088549526009144
2025-01-16,-0.006456849274876721,-0.008489303445476513,-0.0019250258231096,0.0032220502145700407
2025-01-17,0.004040442363750239,-0.012006948554729748,0.009989888126204568,0.0017219359399529865
2025-01-21,0.002684435249921511,0.004304796561479164,0.00911184153609896,0.008906033123652067
2025-01-22,-0.005645798530834524,-0.013841179875047176,0.0056058286555815216,-0.005242633259952526
2025-01-23,-0.0070346874789426125,-0.007870452363319996,0.005443180457231125,-0.00780103831699993
2025-01-24,-0.005172263719065209,-0.00793298051062278,-0.002923547658573923,0.004481578098918998
2025-01-27,0.01463051589665362,0.02447689915732155,-0.014246470299252998,0.011740078079546695
2025-01-28,-0.0013456487724502165,0.004308415070063018,0.008555743805095151,-0.0006802380030784869
2025-01-29,-0.0062138287982777245,-0.010371951443304231,-0.0044929980271374926,-0.0020429475992531808
2025-01-30,0.013191761744189857,0.053289704131625475,0.0053527269690866785,0.003742357797740752
2025-01-31,0.007991583163925295,-0.0041273907755086875,-0.0053360588431012705,-0.006587107795256152
2025-02-03,-0.00505383219221034,-0.0016554612206154315,-0.006752498112291906,0.00810920394411783
2025-02-04,-0.009915683917627132,-0.0017462498346228446,0.006686029732644003,0.003057789338785781
2025-02-05,-0.007298467207802856,0.023008622813875643,0.004046200304760887,0.016375400557592127
2025-02-06,-0.0019008371677060923,0.013715427834441043,0.0034696905226085967,-0.00044512579543013164
2025-02-07,-0.005724403362453722,-0.040054680042353165,-0.009195734788507786,-0.00647615175884161
2025-02-10,0.006811104332824455,0.0008336761837058619,0.006768236550817022,-0.003028883366668407
2025-02-11,0.0,0.023065317926171055,0.0007603452599696442,-0.006425239636652023
2025-02-12,-0.015046072303612063,-0.04667478594525273,-0.0032265904305730647,-0.013662965798391588
2025-02-13,0.0011018516257803724,0.013559275206266598,0.010502123597229223,0.016485999673189013
2025-02-14,0.030371168356443955,0.025759572255158042,-4.9153363785846196e-05,0.005286101062975698
2025-02-18,0.024275585982339132,0.0008201745959451037,0.002931466010428503,-0.011847795431326632
2025-02-19,0.0020832993992838437,-0.018197602001620933,0.0023521747666686295,0.001247592545302843
2025-02-20,0.0015596036845741022,-0.002507300546390113,-0.004169042434476105,0.0037341884216690394
2025-02-21,-0.002861115613613845,-0.009247509807673865,-0.01725204722983592,0.012012409092019364
2025-02-24,-0.007057965207155912,-0.0178954715287858,-0.0045608649445578455,0.002897332861560699
2025-02-25,-0.004469514303588097,0.011965796860034383,-0.00498546007619155,0.01710002460308543
2025-02-26,0.0,-0.0197347278900538,0.0005046234510921561,0.005889499689083506
2025-02-27,-0.03594813190135664,-0.0060842048639247,-0.01609079855614156,-0.007093609879862344
2025-02-28,-0.01874880617680552,-0.020256155006350585,0.015485199007902363,0.012191561025586968
2025-03-05,-0.037141140908678004,0.020256155006350512,-0.018892208144823387,-0.015751875651380958
2025-03-06,-0.010453068456951512,0.008639921819738789,-0.017910541434329044,-0.0033130170899670877
2025-03-07,0.010741887665068362,0.012048531685947097,0.00558921359556951,-0.0032131654958819367
2025-03-10,-0.0002888192081168636,-0.014649148888462405,-0.026996927724843082,0.010377678845840543
2025-03-11,-0.015134223827130118,-0.006095113768120696,-0.008347593307824705,-0.0071645133499585855
2025-03-12,0.0,0.0,0.00529241213670413,-0.005991568931468734
2025-03-13,0.00992134786649227,0.017316497605554697,-0.013419955480057023,0.008753310093879682
2025-03-14,0.030314030125717834,0.04037553064483643,0.020445279954321643,-0.005309183877649491
2025-03-17,0.018420917806930916,0.014730392537099917,0.0076818548542385845,0.004978096435347013
2025-03-18,0.0008292148553102244,-0.000812823746927542,-0.01086728105332802,0.0009928457627293155
2025-03-19,-0.0008292148553103613,0.008903251813621855,0.01083201580103441,0.005167759950026604
2025-03-20,0.0022099088234003683,-0.004846398019263982,-0.002895991014734792,0.0006577383191284948
2025-03-21,0.015334341574405514,0.01367116407278966,0.00032975637740223734,-0.005935980662025969
2025-03-24,-0.0013595535495304104,0.010330050981562125,0.017750086193809182,-0.010306384300136438
2025-03-25,0.007860125133960838,0.016464440746666156,0.0024009971253177113,-0.00011146171481484188
2025-03-26,0.009404879763191641,0.016197747958301124,-0.0120100659661846,-0.006595020802617696
2025-03-27,0.0074607782593534245,-0.0038327813791681903,-0.002659393438435454,-0.0029198131041157584
2025-03-28,-0.00639161985422667,-0.01392142368430114,-0.020343714466003155,0.013739369902191436
2025-03-31,-0.007239416220797903,-0.013328085388842274,0.006690231009001413,0.00982509241015924
2025-04-01,0.0037602074743981655,0.0014314089030398854,0.002820487746496578,0.008628177160352466
2025-04-02,-0.0026844352499215763,0.0023262816248259465,0.006308494357111239,-0.0006559364435453628
