,PETR4.SA,BBDC4.SA,SPY,TLT
PETR4.SA,1.0,0.23618412560684832,0.27577820602731207,0.048456480584965045
BBDC4.SA,0.23618412560684832,1.0,0.2723267271927126,0.10585599641400321
SPY,0.27577820602731207,0.2723267271927126,1.0,0.11005071105050848
TLT,0.048456480584965045,0.10585599641400321,0.11005071105050848,1.0
